,name,studio,yearReleased,rating
55,Cardfight!! Vanguard: will+Dress," GIFTanimation, Kinema Citrus, Studio Jemi", 2022,0.0
56,Cardfight!! Vanguard: will+Dress Season 2," GIFTanimation, Kinema Citrus, Studio Jemi", 2023,0.0
57,Cestvs: The Roman Fighter, Bandai Namco Pictures, 2021,0.0
58,Chainsaw Man, MAPPA, 2022,0.0
59,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore, EMT Squared, 2021,6.31
60,Cool Doji Danshi, Pierrot, 2022,0.0
61,Cue!," Graphinica, Yumeta Company", 2022,0.0
62,D_Cide Traumerei the Animation, SANZIGEN, 2021,0.0
63,D4DJ All Mix, SANZIGEN, 2023,7.29
64,Date A Live IV, GEEK TOYS, 2022,0.0
65,Deaimon, Encourage Films, 2022,0.0
66,Deatte 5-byou de Battle," SynergySP, Vega Entertainment", 2021,7.16
67,Deep Insanity: The Lost Child, SILVER LINK., 2021,5.45
68,Deji Meets Girl, LIDENFILMS, 2021,0.0
69,Detective Conan, TMS Entertainment, 1996,8.17
70,Digimon Adventure: (2020), Toei Animation, 2000,7.25
71,Digimon Ghost Game, Toei Animation, 2021,0.0
72,Do It Yourself!!, Pine Jam, 2022,0.0
73,Dogeza de Tanondemita, DMM pictures, 2020,5.20
74,Dogeza de Tanondemita: Isekai-hen, DMM pictures, 2021,0.0
75,Dokyuu Hentai HxEros OVA, 2020, Unknown,0.0
76,Dolls’ Frontline, Asahi Production, 2022,0.0
77,Dragon Quest: Dai no Daibouken (2020), Toei Animation, 2020,7.20
78,"Dragon, Ie wo Kau.", TV, Censored,0.0
79,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou – Yakusai-hen, J.C.Staff, 2023,0.0
80,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou – Meikyuu-hen, J.C.Staff, 2022,0.0
81,Edens Zero, J.C.Staff, 2021,0.0
82,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi", Studio Comet, 2023,0.0
83,Enen no Shouboutai: Ni no Shou, David Production, 2020,7.76
84,Engage Kiss, A-1 Pictures, 2022,0.0
85,Ensemble Stars!!: Road to Show!!, David Production, 2022,6.89
86,Eternal Boys, LIDENFILMS, 2022,0.0
87,Ex-Arm, Visual Flight, 2021,0.0
88,Exception," 5 Inc., Bakken Record", 2022,0.0
89,Extreme Hearts, Seven Arcs, 2022,0.0
90,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu, Studio Comet, 2021,0.0
91,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu, Studio Comet, 2021,5.32
92,Fantasy Bishoujo Juniku Ojisan to, OLM Team Yoshioka, 2022,0.0
93,Fruits Basket: The Final, TMS Entertainment, 2021,0.0
94,Fumetsu no Anata e, Brain's Base, 2021,0.0
95,Fumetsu no Anata e 2nd Season, Drive, 2022,8.18
96,Futoku no Guild, TNK, 2022,0.0
97,Futoku no Guild (Uncensored), TNK, 2022,6.34
98,Futsal Boys!!!!!, Diomedéa, 2022,0.0
99,"Fuufu Ijou, Koibito Miman.", studio MOTHER, 2022,0.0
100,Fuuto Tantei, Studio Kai, 2022,0.0
101,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu"," HORNETS, Studio Kai", 2022,0.0
102,Gekidol, Hoods Entertainment, 2021,5.73
103,Genjitsu Shugi Yuusha no Oukoku Saikenki, J.C.Staff, 2021,0.0
104,Genjitsu Shugi Yuusha no Oukoku Saikenki 2nd Season, J.C.Staff, 2022,0.0
105,Gensou Sangokushi: Tengen Reishinki, GEEK TOYS, 2022,0.0
106,Getter Robo Arc," Bee Media, Studio A-CAT", 2021,6.25
107,Given: Uragawa no Sonzai, Lerche, 2021,8.36
108,Gochuumon wa Usagi Desu ka? Bloom, Encourage Films, 2020,7.91
109,Godzilla Singular Point," Bones, Orange", 2021,0.0
110,Gokushufudou, J.C.Staff, 2021,0.0
111,Golden Kamuy 3rd Season, Geno Studio, 2020,8.30
112,Golden Kamuy 4th Season, Brain's Base, 2022,8.21
113,Gundam Breaker: Battlogue, Sunrise, 2021,0.0
114,Gunjou no Fanfare, Lay-duce, 2022,0.0
115,Guraburu!," DMM.futureworks, W-Toon Studio", 2020,5.54
116,Gyakuten Sekai no Denchi Shoujo, Lerche, 2021,6.35
117,Haikyuu!!: To the Top 2nd Season, Production I.G, 2020,8.56
118,Hakozume: Kouban Joshi no Gyakushuu, Madhouse, 2022,6.81
119,Hanyou no Yashahime: Sengoku Otogizoushi, Sunrise, 2020,7.46
120,Hanyou no Yashahime: Sengoku Otogizoushi – Ni no Shou, Sunrise, 2021,0.0
121,Harem Camp!, Studio Hokiboshi, 2022,6.52
122,Hataraku Maou-sama!!, Studio 3Hz, 2022,0.0
123,Hataraku Saibou (TV), David Production, 2018,7.66
124,Healer Girl, Studio 3Hz, 2022,0.0
125,Heion Sedai no Idaten-tachi, MAPPA, 2021,7.50
126,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Lay-duce, 2022,0.0
127,Hetalia World★Stars, Studio Deen, 2021,0.0
128,Hige wo Soru. Soshite Joshikousei wo Hirou., Project No.9, 2021,0.0
129,High Card, Studio Hibari, 2022,0.0
130,Higurashi no Naku Koro ni Gou, Passione, 2020,7.38
131,Higurashi no Naku Koro ni Sotsu, Passione, 2021,0.0
132,Hikari no Ou, Signal.MD, 2023,0.0
