,name,studio,yearReleased,rating
200,Kubo-san wa Mob wo Yurusanai, Pine Jam,2023,0.0
22,Azur Lane: Bisoku Zenshin!," CANDY BOX, Yostar Pictures",2021,0.0
198,Koroshi Ai, Platinum Vision,2022,0.0
153,Isekai Ojisan, AtelierPontdarc,2022,0.0
152,Isekai Nonbiri Nouka, Zero-G,2023,0.0
150,Isekai Meikyuu de Harem wo, Passione,2022,0.0
149,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω," Okuruto Noboru, Tezuka Productions",2021,0.0
148,Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi, Encourage Films,2021,0.0
144,"Ijiranaide, Nagatoro-san 2nd Attack", OLM,2023,0.0
180,"Kanojo, Okarishimasu 2nd Season", TMS Entertainment,2022,0.0
182,Kawaii dake ja Nai Shikimori-san, Doga Kobo,2022,0.0
212,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara, ENGI,2021,0.0
199,Koukaku Kidoutai: SAC_2045 – Jizoku Kanou Sensou," Production I.G, Sola Digital Arts",2021,0.0
171,Kaijin Kaihatsu-bu no Kuroitsu-san, Quad,2022,0.0
131,Higurashi no Naku Koro ni Sotsu, Passione,2021,0.0
24,Bakuten!!, Zexcs,2021,0.0
21,Ayakashi Triangle, Connect,2023,0.0
25,BanG Dream! Morfonication, SANZIGEN,2022,0.0
158,Jaku-Chara Tomozaki-kun, Project No.9,2021,0.0
160,Jintai no Survival!," Gallop, Toei Animation",2020,0.0
181,Karakai Jouzu no Takagi-san 3, Shin-Ei Animation,2022,0.0
191,Kobayashi-san Chi no Maid Dragon S, Kyoto Animation,2021,0.0
183,Kemono Jihen, Ajia-Do,2021,0.0
206,Kyokou Suiri Season 2, Brain's Base,2023,0.0
197,Koori Zokusei Danshi to Cool na Douryou Joshi," Liber, Zero-G",2023,0.0
194,Kokyu no Karasu, Bandai Namco Pictures,2022,0.0
193,Koi wa Sekai Seifuku no Ato de, Project No.9,2022,0.0
192,Koi to Yobu ni wa Kimochi Warui, Nomad,2021,0.0
190,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu, Staple Entertainment,2022,0.0
164,Kage no Jitsuryokusha ni Naritakute!, Nexus,2022,0.0
184,Kenja no Deshi wo Nanoru Kenja, Studio A-CAT,2022,0.0
195,"Komi-san wa, Comyushou desu.", OLM,2021,0.0
209,Kyuuketsuki Sugu Shinu, Madhouse,2021,0.0
210,Kyuuketsuki Sugu Shinu, Madhouse,2021,0.0
211,Kyuuketsuki Sugu Shinu 2, Madhouse,2023,0.0
166,Kaginado, LIDENFILMS Kyoto Studio,2021,0.0
466,Boku no Hero Academia 5th Season, Bones,2021,0.0
