,name,studio,yearReleased,rating
169,Kaifuku Jutsushi no Yarinaoshi, TNK,2021,6.88
176,Kami-tachi ni Hirowareta Otoko, Maho Film,2020,6.84
321,Saikin Yatotta Maid ga Ayashii," Blade, SILVER LINK.",2022,6.81
118,Hakozume: Kouban Joshi no Gyakushuu, Madhouse,2022,6.81
359,Shinmai Renkinjutsushi no Tenpo Keiei, ENGI,2022,6.8
394,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita", Revoroot,2022,6.8
421,Urasekai Picnic," Felix Film, LIDENFILMS",2021,6.8
3,4-nin wa Sorezore Uso wo Tsuku, Studio Flad,2022,6.77
161,Jouran: The Princess of Snow and Blood, Bakken Record,2021,6.77
367,Skate-Leading☆Stars, J.C.Staff,2020,6.71
385,Taisou Zamurai, MAPPA,2020,6.7
329,Scarlet Nexus, Sunrise,2021,6.69
373,Soredemo Ayumu wa Yosetekuru, SILVER LINK.,2022,6.68
275,Obey Me! Season 2, Colored Pencil Animation Japan,2022,6.67
207,Kyoukai Senki, Sunrise Beyond,2021,6.63
145,Ikebukuro West Gate Park, Doga Kobo,2020,6.61
269,Noblesse, Production I.G,2020,6.59
208,Kyoukai Senki Part 2, Sunrise Beyond,2022,6.58
295,Peter Grill to Kenja no Jikan: Super Extra (Uncensored)," Seven, Wolfsbane",2022,6.54
276,Ochikobore Fruit Tart, feel.,2020,6.54
121,Harem Camp!, Studio Hokiboshi,2022,6.52
32,Birdie Wing: Golf Girls’ Story, Bandai Namco Pictures,2022,6.46
280,One Room Third Season, Zero-G,2020,6.38
285,Orient, A.C.G.T.,2022,6.36
116,Gyakuten Sekai no Denchi Shoujo, Lerche,2021,6.35
97,Futoku no Guild (Uncensored), TNK,2022,6.34
225,Magatsu Wahrheit: Zuerst, Yokohama Animation Lab,2020,6.34
28,Bear Bear Bear Kuma!, EMT Squared,2020,6.33
309,Redo of Healer (Uncensored), TNK,2021,6.32
170,Kaifuku Jutsushi no Yarinaoshi (Uncensored), TNK,2021,6.32
59,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore, EMT Squared,2021,6.31
